urlid,M1,M2,M3,url
1,1.0,1.0,1.0,https://ru.wikipedia.org/
2535,1.0,0.058823529411764705,0.5294117647058824,https://ru.wikipedia.org//wiki/%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0:%D0%92%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8E
